date, interval, counts, cps, cpm, error
2011-09-01 08:03:00, 3600, 787, 0.218611, 13.116667, 3.564615
2011-09-01 09:03:00, 3600, 780, 0.216667, 13.000000, 3.580574
2011-09-01 10:03:00, 3600, 719, 0.199722, 11.983333, 3.729371
2011-09-01 11:03:00, 3600, 787, 0.218611, 13.116667, 3.564615
2011-09-01 12:03:00, 3600, 724, 0.201111, 12.066667, 3.716471
2011-09-01 13:03:00, 3600, 749, 0.208056, 12.483333, 3.653920
2011-09-01 14:03:00, 3600, 765, 0.212500, 12.750000, 3.615508
2011-09-01 15:03:00, 3600, 758, 0.210556, 12.633333, 3.632164
2011-09-01 16:03:00, 3600, 728, 0.202222, 12.133333, 3.706247
2011-09-01 17:03:00, 3600, 771, 0.214167, 12.850000, 3.601412
2011-09-01 18:03:00, 3600, 718, 0.199444, 11.966667, 3.731967
2011-09-01 19:03:00, 3600, 750, 0.208333, 12.500000, 3.651484
2011-09-01 20:03:00, 3600, 736, 0.204444, 12.266667, 3.686049
2011-09-01 21:03:00, 3600, 747, 0.207500, 12.450000, 3.658809
2011-09-01 22:03:00, 3600, 749, 0.208056, 12.483333, 3.653920
2011-09-01 23:03:00, 3600, 740, 0.205556, 12.333333, 3.676073
2011-09-02 00:03:00, 3600, 755, 0.209722, 12.583333, 3.639373
2011-09-02 01:03:00, 3600, 710, 0.197222, 11.833333, 3.752933
2011-09-02 02:03:00, 3600, 783, 0.217500, 13.050000, 3.573708
2011-09-02 03:03:00, 3600, 702, 0.195000, 11.700000, 3.774257
2011-09-02 04:03:00, 3600, 724, 0.201111, 12.066667, 3.716471
2011-09-02 05:03:00, 3600, 776, 0.215556, 12.933333, 3.589791
2011-09-02 06:03:00, 3600, 753, 0.209167, 12.550000, 3.644203
2011-09-02 07:03:00, 3600, 723, 0.200833, 12.050000, 3.719040
2011-09-02 08:03:00, 3600, 735, 0.204167, 12.250000, 3.688556
2011-09-02 09:03:00, 3600, 739, 0.205278, 12.316667, 3.678559
2011-09-02 10:03:00, 3600, 762, 0.211667, 12.700000, 3.622618
2011-09-02 11:03:00, 3600, 767, 0.213056, 12.783333, 3.610791
2011-09-02 12:03:00, 3600, 704, 0.195556, 11.733333, 3.768892
2011-09-02 13:03:00, 3600, 772, 0.214444, 12.866667, 3.599079
2011-09-02 14:03:00, 3600, 773, 0.214722, 12.883333, 3.596750
2011-09-02 15:03:00, 3600, 777, 0.215833, 12.950000, 3.587480
2011-09-02 16:03:00, 3600, 737, 0.204722, 12.283333, 3.683547
2011-09-02 17:03:00, 3600, 734, 0.203889, 12.233333, 3.691067
2011-09-02 18:03:00, 3600, 751, 0.208611, 12.516667, 3.649052
2011-09-02 19:03:00, 3600, 742, 0.206111, 12.366667, 3.671115
2011-09-02 20:03:00, 3600, 732, 0.203333, 12.200000, 3.696106
2011-09-02 21:03:00, 3600, 711, 0.197500, 11.850000, 3.750293
2011-09-02 22:03:00, 3600, 749, 0.208056, 12.483333, 3.653920
2011-09-02 23:03:00, 3600, 731, 0.203056, 12.183333, 3.698634
2011-09-03 00:03:00, 3600, 730, 0.202778, 12.166667, 3.701166
2011-09-03 01:03:00, 3600, 771, 0.214167, 12.850000, 3.601412
2011-09-03 02:03:00, 3600, 732, 0.203333, 12.200000, 3.696106
2011-09-03 03:03:00, 3600, 756, 0.210000, 12.600000, 3.636965
2011-09-03 04:03:00, 3600, 794, 0.220556, 13.233333, 3.548867
2011-09-03 05:03:00, 3600, 766, 0.212778, 12.766667, 3.613147
2011-09-03 06:03:00, 3600, 712, 0.197778, 11.866667, 3.747658
2011-09-03 07:03:00, 3600, 775, 0.215278, 12.916667, 3.592106
2011-09-03 08:03:00, 3600, 788, 0.218889, 13.133333, 3.562352
2011-09-03 09:03:00, 3600, 760, 0.211111, 12.666667, 3.627381
2011-09-03 10:03:00, 3600, 803, 0.223056, 13.383333, 3.528923
2011-09-03 11:03:00, 3600, 760, 0.211111, 12.666667, 3.627381
2011-09-03 12:03:00, 3600, 778, 0.216111, 12.966667, 3.585174
2011-09-03 13:03:00, 3600, 754, 0.209444, 12.566667, 3.641785
2011-09-03 14:03:00, 3600, 769, 0.213611, 12.816667, 3.606092
2011-09-03 15:03:00, 3600, 768, 0.213333, 12.800000, 3.608439
2011-09-03 16:03:00, 3600, 755, 0.209722, 12.583333, 3.639373
2011-09-03 17:03:00, 3600, 733, 0.203611, 12.216667, 3.693584
2011-09-03 18:03:00, 3600, 779, 0.216389, 12.983333, 3.582872
2011-09-03 19:03:00, 3600, 762, 0.211667, 12.700000, 3.622618
2011-09-03 20:03:00, 3600, 692, 0.192222, 11.533333, 3.801430
2011-09-03 21:03:00, 3600, 772, 0.214444, 12.866667, 3.599079
2011-09-03 22:03:00, 3600, 772, 0.214444, 12.866667, 3.599079
2011-09-03 23:03:00, 3600, 793, 0.220278, 13.216667, 3.551104
2011-09-04 00:03:00, 3600, 733, 0.203611, 12.216667, 3.693584
2011-09-04 01:03:00, 3600, 765, 0.212500, 12.750000, 3.615508
2011-09-04 02:03:00, 3600, 712, 0.197778, 11.866667, 3.747658
2011-09-04 03:03:00, 3600, 728, 0.202222, 12.133333, 3.706247
2011-09-04 04:03:00, 3600, 782, 0.217222, 13.033333, 3.575993
2011-09-04 05:03:00, 3600, 722, 0.200556, 12.033333, 3.721615
2011-09-04 06:03:00, 3600, 765, 0.212500, 12.750000, 3.615508
2011-09-04 07:03:00, 3600, 736, 0.204444, 12.266667, 3.686049
2011-09-04 08:03:00, 3600, 724, 0.201111, 12.066667, 3.716471
2011-09-04 09:03:00, 3600, 741, 0.205833, 12.350000, 3.673592
2011-09-04 10:03:00, 3600, 796, 0.221111, 13.266667, 3.544406
2011-09-04 11:03:00, 3600, 771, 0.214167, 12.850000, 3.601412
2011-09-04 12:03:00, 3600, 819, 0.227500, 13.650000, 3.494283
2011-09-04 13:03:00, 3600, 735, 0.204167, 12.250000, 3.688556
2011-09-04 14:03:00, 3600, 708, 0.196667, 11.800000, 3.758230
2011-09-04 15:03:00, 3600, 841, 0.233611, 14.016667, 3.448276
2011-09-04 16:03:00, 3600, 688, 0.191111, 11.466667, 3.812464
2011-09-04 17:03:00, 3600, 729, 0.202500, 12.150000, 3.703704
2011-09-04 18:03:00, 3600, 738, 0.205000, 12.300000, 3.681051
